"מספר
הסקר",תאריך מנורמל,תאריך,משיבים,"כלי
תקשורת","עורך
משאלים",הליכוד,יהדות התורה,ש״ס,כחול לבן,יש עתיד,חדש תע״ל,ישראל ביתנו,הדמוקרטים,הציונות הדתית,רע״מ,בל״ד,עוצמה יהודית,ביחד (בנט ולפיד),ישר!,המילואימניקים,‏רשימה ערבית מאוחדת
539,2026-03-20,20/03/2026,534,i24 news,צוריאל שרון,34,8,10,0,4,4,7,9,4,7,0,7,13,13,0,
534,2026-03-19,19/03/2026,500,זמן ישראל,יוסי טאטיקה,28,8,8,4,5,5,10,9,0,5,0,7,15,16,0,
535,2026-03-19,19/03/2026,500,ישראל היום,דודי חסיד,28,7,9,0,6,6,8,10,0,5,0,9,20,12,0,
536,2026-03-19,19/03/2026,503,חדשות 12,מנו גבע,28,7,9,0,6,5,9,12,0,5,0,7,20,12,0,
537,2026-03-19,19/03/2026,754,ערוץ 14,שלמה פילבר,36,9,10,0,4,,8,9,4,,,7,10,11,,12
533,2026-03-13,13/03/2026,500,מעריב,מנחם לזר,27,7,8,0,7,5,8,10,0,5,0,8,22,13,0,
530,2026-03-12,12/03/2026,500,זמן ישראל,יוסי טאטיקה,29,7,8,0,6,5,10,8,4,5,0,6,17,15,0,
531,2026-03-12,12/03/2026,500,חדשות 12,מנו גבע,26,7,9,0,6,5,9,12,0,5,0,9,21,11,0,
532,2026-03-12,12/03/2026,661,ערוץ 14,שלמה פילבר,35,9,11,0,4,,8,9,4,,,7,10,11,,12
529,2026-03-10,10/03/2026,500,חדשות 13,יצחק כ״ץ,25,7,10,0,8,,8,7,0,,,9,17,13,0,16
528,2026-03-06,06/03/2026,500,מעריב,מנחם לזר,27,7,8,0,6,5,8,10,0,5,0,9,21,14,0,
526,2026-03-05,05/03/2026,500,זמן ישראל,יוסי טאטיקה,31,7,9,4,6,5,10,8,0,5,0,6,15,14,0,
527,2026-03-05,05/03/2026,742,ערוץ 14,שלמה פילבר,34,9,11,0,4,,7,9,4,,,8,11,10,0,13
524,2026-02-27,27/02/2026,501,מעריב,מנחם לזר,26,7,8,0,8,5,8,11,0,5,0,9,19,14,0,
525,2026-02-27,27/02/2026,501,מעריב,מנחם לזר,25,7,8,0,7,,8,9,0,,,9,20,13,0,14
521,2026-02-26,26/02/2026,579,ערוץ 14,שלמה פילבר,33,8,11,0,4,,8,9,5,,,8,10,11,0,13
522,2026-02-26,26/02/2026,500,זמן ישראל,יוסי טאטיקה,27,8,10,0,7,5,10,9,0,6,0,8,18,12,0,
523,2026-02-26,26/02/2026,500,חדשות 12,מנו גבע,26,7,9,0,7,4,8,11,0,6,0,10,21,11,0,
519,2026-02-20,20/02/2026,501,מעריב,מנחם לזר,26,7,8,0,8,5,8,11,0,5,0,9,20,13,0,
520,2026-02-20,20/02/2026,535,i24 news,צוריאל שרון,34,8,10,0,0,,8,9,4,,,8,14,11,0,14
515,2026-02-19,19/02/2026,1024,ערוץ 14,שלמה פילבר,34,9,10,0,5,,8,9,4,,,8,11,9,0,13
516,2026-02-19,19/02/2026,501,חדשות 12,מנו גבע,27,7,9,0,7,5,9,11,0,5,0,9,21,10,0,
517,2026-02-19,19/02/2026,501,חדשות 12,מנו גבע,27,7,9,0,7,,9,10,0,,,9,20,10,0,12
518,2026-02-19,19/02/2026,500,זמן ישראל,יוסי טאטיקה,27,8,10,4,7,5,10,9,0,6,0,7,18,9,0,
514,2026-02-17,17/02/2026,500,חדשות 13,יצחק כ״ץ,25,7,10,0,9,,8,7,0,,,8,22,9,0,15
513,2026-02-13,13/02/2026,593,מעריב,מנחם לזר,25,7,8,0,9,5,9,9,0,5,0,10,21,12,0,
506,2026-02-12,12/02/2026,500,ישראל היום,דודי חסיד,27,7,9,0,7,5,9,9,0,5,0,10,21,11,0,
507,2026-02-12,12/02/2026,500,ישראל היום,דודי חסיד,26,7,9,0,7,,9,9,0,,,10,20,10,0,13
508,2026-02-12,12/02/2026,500,זמן ישראל,יוסי טאטיקה,28,8,10,0,9,5,11,8,0,6,0,7,20,8,0,
509,2026-02-12,12/02/2026,500,זמן ישראל,יוסי טאטיקה,27,8,10,0,8,,10,8,0,,,7,19,8,0,15
510,2026-02-12,12/02/2026,508,חדשות 12,מנו גבע,26,7,9,0,7,5,9,11,0,5,0,9,21,11,0,
511,2026-02-12,12/02/2026,508,חדשות 12,מנו גבע,25,7,9,0,7,,9,11,0,,,9,20,11,0,12
512,2026-02-12,12/02/2026,532,ערוץ 14,שלמה פילבר,35,9,10,0,5,,8,10,5,,,7,10,8,0,13
504,2026-02-06,06/02/2026,501,מעריב,מנחם לזר,25,7,7,0,7,,8,10,4,,,8,23,9,0,12
505,2026-02-06,06/02/2026,501,מעריב,מנחם לזר,26,7,8,0,7,6,9,10,0,5,0,9,24,9,0,
500,2026-02-05,05/02/2026,500,חדשות 12,מנו גבע,26,7,9,0,7,,8,10,0,,,8,23,10,0,12
501,2026-02-05,05/02/2026,500,חדשות 12,מנו גבע,26,7,9,0,8,5,8,11,0,5,0,8,23,10,0,
502,2026-02-05,05/02/2026,500,זמן ישראל,יוסי טאטיקה,27,8,10,4,8,,10,8,0,,,7,18,6,0,14
503,2026-02-05,05/02/2026,644,ערוץ 14,שלמה פילבר,34,9,11,4,4,,8,9,4,,,7,11,6,0,13
499,2026-02-04,04/02/2026,500,חדשות 13,יצחק כ״ץ,26,6,9,0,8,,7,8,4,,,9,22,6,0,15
494,2026-01-30,30/01/2026,503,מעריב,מנחם לזר,27,7,8,0,7,,9,9,0,,,8,22,10,0,13
491,2026-01-29,29/01/2026,500,זמן ישראל,יוסי טאטיקה,27,8,9,0,8,,10,9,0,,,7,19,7,0,16
492,2026-01-29,29/01/2026,501,חדשות 12,מנו גבע,27,7,9,0,8,,8,11,0,,,8,21,9,0,12
493,2026-01-29,29/01/2026,952,ערוץ 14,שלמה פילבר,34,9,10,0,6,,9,9,4,,,7,12,7,,13
490,2026-01-23,23/01/2026,501,מעריב,מנחם לזר,25,7,8,0,9,5,9,9,0,5,0,9,23,11,0,
487,2026-01-22,22/01/2026,500,זמן ישראל,יוסי טאטיקה,25,8,10,4,8,5,10,9,4,6,0,6,18,7,0,
488,2026-01-22,22/01/2026,503,ערוץ 14,שלמה פילבר,34,9,10,4,5,6,8,10,5,5,0,7,10,7,,
489,2026-01-22,22/01/2026,501,חדשות 12,מנו גבע,25,8,9,0,8,5,9,11,0,5,0,9,22,9,0,
486,2026-01-20,20/01/2026,500,חדשות 13,יצחק כ״ץ,25,7,10,0,8,5,9,9,0,4,4,9,23,7,0,
485,2026-01-16,16/01/2026,501,מעריב,מנחם לזר,26,7,8,0,9,5,8,10,0,4,0,10,22,11,0,
480,2026-01-15,15/01/2026,500,זמן ישראל,יוסי טאטיקה,27,8,10,4,9,5,10,8,0,6,0,7,19,7,0,
481,2026-01-15,15/01/2026,600,ישראל היום,דודי חסיד,27,7,10,0,8,5,8,9,0,5,0,9,23,9,0,
482,2026-01-15,15/01/2026,600,ישראל היום,דודי חסיד,27,7,10,0,8,5,8,9,0,5,0,9,23,9,0,
483,2026-01-15,15/01/2026,604,ערוץ 14,שלמה פילבר,35,9,11,0,5,5,10,11,4,6,0,7,11,6,,
484,2026-01-15,15/01/2026,504,חדשות 12,מנו גבע,26,8,8,0,9,5,8,12,0,5,0,9,22,8,0,
479,2026-01-09,09/01/2026,503,מעריב,מנחם לזר,27,7,8,0,8,5,9,10,0,5,0,9,22,10,0,
476,2026-01-08,08/01/2026,500,זמן ישראל,יוסי טאטיקה,28,8,10,0,10,5,10,9,0,6,0,7,21,6,0,
477,2026-01-08,08/01/2026,506,ערוץ 14,שלמה פילבר,35,9,11,0,6,5,9,8,4,5,0,7,13,8,,
478,2026-01-08,08/01/2026,500,חדשות 12,מנו גבע,25,7,8,0,9,5,8,12,4,5,0,8,21,8,0,
474,2026-01-07,07/01/2026,500,חדשות 13,יצחק כ״ץ,26,7,10,0,7,5,8,10,0,5,0,10,24,8,0,
473,2026-01-02,02/01/2026,500,מעריב,מנחם לזר,27,7,8,0,9,5,10,10,0,5,0,10,19,10,0,
470,2026-01-01,01/01/2026,736,ערוץ 14,שלמה פילבר,35,8,11,0,6,5,9,10,5,5,0,7,11,8,,
471,2026-01-01,01/01/2026,500,חדשות 12,מנו גבע,26,7,9,0,10,5,9,11,0,5,0,9,21,8,0,
472,2026-01-01,01/01/2026,500,זמן ישראל,יוסי טאטיקה,28,8,10,0,10,5,10,8,0,6,0,6,22,7,0,
469,2025-12-28,28/12/2025,500,כאן חדשות,דודי חסיד,25,7,10,0,8,5,9,9,0,5,0,9,20,9,4,
468,2025-12-26,26/12/2025,500,מעריב,מנחם לזר,25,7,9,0,9,5,10,10,0,5,0,9,21,10,0,
464,2025-12-25,25/12/2025,500,זמן ישראל,יוסי טאטיקה,25,8,10,0,9,5,10,10,4,5,0,5,20,5,4,
465,2025-12-25,25/12/2025,500,ישראל היום,דודי חסיד,25,7,10,0,8,5,9,10,0,5,0,8,21,8,4,
466,2025-12-25,25/12/2025,657,ערוץ 14,שלמה פילבר,34,9,10,0,5,5,9,10,5,5,0,8,12,8,,
467,2025-12-25,25/12/2025,500,חדשות 12,מנו גבע,25,7,8,0,9,5,9,11,4,5,0,8,22,7,0,
463,2025-12-23,23/12/2025,500,חדשות 13,יצחק כ״ץ,25,7,9,0,9,6,10,8,4,4,0,10,22,6,0,
461,2025-12-19,19/12/2025,500,מעריב,מנחם לזר,25,7,9,0,9,5,9,10,0,5,0,9,22,10,0,
462,2025-12-19,19/12/2025,544,i24 news,צוריאל שרון,35,9,10,0,0,5,9,9,4,6,0,8,20,5,0,
459,2025-12-18,18/12/2025,500,זמן ישראל,יוסי טאטיקה,26,8,10,0,10,5,10,10,0,5,0,6,20,6,4,
460,2025-12-18,18/12/2025,491,ערוץ 14,שלמה פילבר,36,8,11,0,4,5,10,11,4,5,0,7,11,8,,
458,2025-12-12,12/12/2025,500,מעריב,מנחם לזר,28,7,9,0,8,5,11,11,0,5,0,8,20,8,0,
455,2025-12-11,11/12/2025,500,זמן ישראל,יוסי טאטיקה,28,8,10,0,10,4,10,9,0,5,0,6,21,5,4,
456,2025-12-11,11/12/2025,657,ערוץ 14,שלמה פילבר,35,8,11,0,4,5,10,10,4,6,0,7,13,7,,
457,2025-12-11,11/12/2025,503,חדשות 12,מנו גבע,27,7,9,0,9,5,9,11,0,5,0,8,22,8,0,
453,2025-12-5,5/12/2025,500,מעריב,מנחם לזר,26,7,8,0,9,5,9,9,4,5,0,8,22,8,0,
454,2025-12-5,5/12/2025,500,חדשות 13,יצחק כ״ץ,23,6,10,0,9,6,10,10,4,4,0,9,19,6,4,
449,2025-12-4,4/12/2025,500,זמן ישראל,יוסי טאטיקה,28,8,10,0,10,5,9,11,0,6,0,6,20,7,0,
450,2025-12-04,04/12/2025,500,ישראל היום,דודי חסיד,25,7,9,0,9,5,9,9,0,5,0,8,23,7,4,
451,2025-12-04,04/12/2025,500,חדשות 12,מנו גבע,25,7,9,0,9,5,9,12,4,5,0,6,21,8,0,
452,2025-12-04,04/12/2025,1119,ערוץ 14,שלמה פילבר,35,8,11,0,4,5,11,10,5,5,0,7,12,7,,
448,2025-12-01,01/12/2025,500,i24 news,צוריאל שרון,35,9,11,0,0,5,10,10,5,5,0,7,19,4,0,
447,2025-11-30,30/11/2025,555,כאן חדשות,דודי חסיד,27,7,9,0,10,5,9,10,0,5,0,9,22,7,0,
446,2025-11-28,28/11/2025,500,מעריב,מנחם לזר,25,7,8,0,9,5,9,10,0,5,0,8,22,8,4,
443,2025-11-27,27/11/2025,500,זמן ישראל,יוסי טאטיקה,28,8,10,0,11,5,10,10,0,6,0,6,20,6,0,
444,2025-11-27,27/11/2025,501,חדשות 12,מנו גבע,27,7,9,0,8,5,10,11,0,5,0,9,22,7,0,
445,2025-11-27,27/11/2025,467,ערוץ 14,שלמה פילבר,35,9,11,0,4,5,11,12,5,5,0,6,10,7,,
441,2025-11-21,21/11/2025,504,מעריב,מנחם לזר,25,7,8,0,9,5,9,11,0,5,0,9,23,9,0,
442,2025-11-21,21/11/2025,500,חדשות 13,יצחק כ״ץ,27,7,9,0,7,5,8,8,4,4,0,8,23,6,4,
438,2025-11-20,20/11/2025,500,זמן ישראל,יוסי טאטיקה,28,8,10,4,11,5,10,9,0,5,0,6,19,5,0,
439,2025-11-20,20/11/2025,588,ערוץ 14,שלמה פילבר,34,9,11,0,5,5,10,11,4,6,0,6,12,7,,
440,2025-11-20,20/11/2025,501,חדשות 12,מנו גבע,27,8,9,0,9,5,9,10,0,5,0,8,22,8,0,
437,2025-11-14,14/11/2025,500,מעריב,מנחם לזר,24,8,8,0,9,5,9,11,0,5,0,8,24,9,0,
433,2025-11-13,13/11/2025,605,ישראל היום,דודי חסיד,27,7,10,0,10,5,9,12,0,4,0,8,22,6,0,
434,2025-11-13,13/11/2025,500,זמן ישראל,יוסי טאטיקה,29,8,9,4,10,5,10,10,0,5,0,6,19,5,0,
435,2025-11-13,13/11/2025,501,חדשות 12,מנו גבע,27,7,9,0,9,5,9,10,0,5,0,9,22,8,0,
436,2025-11-13,13/11/2025,602,ערוץ 14,שלמה פילבר,35,9,11,0,4,5,9,11,4,6,0,7,12,7,,
432,2025-11-7,7/11/2025,500,מעריב,מנחם לזר,26,7,9,0,10,5,9,11,0,5,0,7,22,9,0,
429,2025-11-6,6/11/2025,505,זמן ישראל,יוסי טאטיקה,29,8,10,4,9,4,10,9,0,5,0,6,21,5,0,
430,2025-11-6,6/11/2025,504,חדשות 12,מנו גבע,26,7,9,0,10,5,9,11,0,5,0,9,21,8,0,
431,2025-11-06,06/11/2025,496,ערוץ 14,שלמה פילבר,35,8,11,0,5,5,10,10,5,6,0,6,12,7,,
428,2025-10-31,31/10/2025,501,מעריב,מנחם לזר,25,7,9,0,9,6,10,12,0,5,0,7,21,9,0,
425,2025-10-30,30/10/2025,500,זמן ישראל,יוסי טאטיקה,30,8,10,4,10,4,10,9,0,5,0,6,20,4,0,
426,2025-10-30,30/10/2025,504,חדשות 12,מנו גבע,26,7,9,0,10,5,9,11,0,5,0,9,21,8,0,
427,2025-10-30,30/10/2025,781,ערוץ 14,שלמה פילבר,35,8,11,0,6,5,9,10,5,5,0,7,12,7,,
424,2025-10-29,29/10/2025,500,חדשות 13,יצחק כ״ץ,27,7,10,0,10,4,9,8,4,5,0,9,23,4,0,
423,2025-10-26,26/10/2025,550,כאן חדשות,דודי חסיד,27,7,10,0,10,5,9,11,0,5,0,7,21,8,0,
422,2025-10-24,24/10/2025,500,מעריב,מנחם לזר,26,7,9,0,9,6,10,12,0,5,0,8,19,9,0,
418,2025-10-23,23/10/2025,601,ישראל היום,דודי חסיד,28,7,9,0,9,5,10,11,0,5,0,7,21,8,0,
419,2025-10-23,23/10/2025,501,חדשות 12,מנו גבע,27,7,9,0,9,5,9,13,0,5,0,8,21,7,0,
420,2025-10-23,23/10/2025,486,ערוץ 14,שלמה פילבר,36,8,11,0,5,5,9,12,4,5,0,7,11,7,,
421,2025-10-23,23/10/2025,404,זמן ישראל,יוסי טאטיקה,31,7,10,4,7,5,10,9,4,5,0,5,18,5,0,
417,2025-10-19,19/10/2025,519,i24 news,צוריאל שרון,34,8,10,0,4,5,9,10,5,6,0,6,17,6,0,
416,2025-10-17,17/10/2025,502,מעריב,מנחם לזר,26,7,8,0,7,5,9,11,4,5,0,7,20,6,5,
414,2025-10-16,16/10/2025,404,זמן ישראל,יוסי טאטיקה,34,7,9,4,7,4,10,7,4,4,0,5,20,5,0,
415,2025-10-16,16/10/2025,504,חדשות 12,מנו גבע,27,7,9,0,9,5,9,11,0,5,0,8,22,8,0,
413,2025-10-15,15/10/2025,486,ערוץ 14,שלמה פילבר,35,8,11,0,4,5,11,10,5,6,0,7,13,5,,
412,2025-10-10,10/10/2025,500,מעריב,מנחם לזר,27,7,8,0,10,5,10,10,0,5,0,6,19,8,5,
410,2025-10-9,9/10/2025,500,חדשות 13,יצחק כ״ץ,27,7,9,4,6,6,6,10,4,5,0,9,23,4,0,
411,2025-10-9,9/10/2025,510,ערוץ 14,שלמה פילבר,34,8,11,0,0,5,13,11,5,5,0,6,16,6,,
406,2025-9-30,30/9/2025,503,וואלה,מנחם לזר,24,7,8,0,7,5,11,9,0,5,0,9,23,7,5,
407,2025-09-30,30/09/2025,515,i24 news,צוריאל שרון,32,8,10,0,5,5,10,11,5,5,0,6,13,10,,
408,2025-09-30,30/09/2025,500,חדשות 13,יצחק כ״ץ,23,7,9,4,6,6,7,10,4,5,0,9,25,5,0,
409,2025-09-30,30/09/2025,500,מעריב,מנחם לזר,25,7,8,0,7,5,10,10,0,5,0,9,22,7,5,
405,2025-09-28,28/09/2025,493,ערוץ 14,שלמה פילבר,34,8,11,,4,5,8,13,4,5,,6,16,6,,
404,2025-09-26,26/09/2025,502,מעריב,מנחם לזר,26,7,8,0,8,5,9,12,0,5,0,7,20,9,4,
403,2025-09-25,25/09/2025,501,חדשות 12,מנו גבע,24,7,9,0,8,5,11,11,4,5,0,5,19,8,4,
401,2025-09-19,19/09/2025,500,ישראל היום,דודי חסיד,25,8,9,4,8,5,9,10,0,5,0,8,20,9,,
402,2025-09-19,19/09/2025,506,מעריב,מנחם לזר,25,8,8,4,7,5,10,11,0,5,0,8,20,9,,
399,2025-09-18,18/09/2025,586,ערוץ 14,שלמה פילבר,33,8,11,4,4,5,8,11,4,5,0,7,15,5,,
400,2025-09-18,18/09/2025,505,חדשות 12,מנו גבע,24,7,9,0,9,5,11,10,4,5,0,5,21,10,,
395,2025-09-17,17/09/2025,556,כאן חדשות,דודי חסיד,25,8,9,4,8,5,9,10,,5,,8,21,8,,
396,2025-09-17,17/09/2025,500,חדשות 13,יצחק כ״ץ,23,7,9,4,8,6,9,9,4,4,,9,23,5,,
397,2025-09-17,17/09/2025,515,i24 news,צוריאל שרון,32,8,10,,5,5,10,11,5,5,,6,13,10,,
398,2025-09-17,17/09/2025,404,זמן ישראל,יוסי טאטיקה,24,7,9,4,7,5,9,8,0,5,0,7,18,12,5,
394,2025-09-12,12/09/2025,506,מעריב,מנחם לזר,24,7,8,0,7,5,9,12,0,5,0,7,22,9,5,
391,2025-09-11,11/09/2025,404,זמן ישראל,יוסי טאטיקה,24,7,9,4,6,5,11,9,0,6,0,7,20,7,5,
392,2025-09-11,11/09/2025,500,חדשות 12,מנו גבע,24,8,9,0,8,5,10,11,0,5,0,7,18,9,6,
393,2025-09-11,11/09/2025,497,ערוץ 14,שלמה פילבר,34,8,10,4,8,5,8,12,5,5,0,7,14,,,
390,2025-09-09,09/09/2025,504,וואלה,מנחם לזר,26,7,10,0,8,5,11,10,0,5,0,7,23,8,,
389,2025-09-05,05/09/2025,500,מעריב,מנחם לזר,25,7,9,4,8,5,10,10,0,5,0,7,24,6,,
386,2025-09-04,04/09/2025,404,זמן ישראל,יוסי טאטיקה,26,7,9,4,7,4,10,11,0,6,0,7,23,,6,
387,2025-09-04,04/09/2025,500,חדשות 12,מנו גבע,24,7,8,0,7,5,11,11,4,5,0,7,19,12,,
